iso,Country,area_ha,population,Fa_tf_mean,Fa_tf_std,Fb_mean,Fb_std,Fc_mean,Fc_std,Fab_tf_mean,Fab_tf_std,Fabc_tf_mean,Fabc_tf_std
TUR,Turkey,78008023.61768281,83384680.0,-4.945283601731367e-11,2.7600699263350416e-11,-5.027218437451793e-11,5.0764895428368905e-11,1.4207556417733385e-09,1.7790205627858835e-25,-9.972501809378979e-11,5.914082773808955e-11,1.3210306236795475e-09,5.914082773808955e-11
TUV,Tuvalu,2301.837552236561,10399.0,,,0.0,0.0,1.3110952040314002e-09,1.8399060055981974e-25,,,,
TWN,Taiwan,3619785.9367214274,,-2.3244278935512984e-10,2.2636415918620628e-10,,,2.0972048693132414e-08,0.0,,,,
TZA,United Republic of Tanzania,94150540.03388958,60972798.0,-2.3241262335960723e-10,7.30382002856783e-11,3.356180872210191e-10,2.095175486594537e-10,3.476413316012376e-11,9.21249880963185e-27,1.0320545015245914e-10,2.1011881065692626e-10,1.3796958331258397e-10,2.1011881065692626e-10
Total,All Countries,,,,,,,,,,,,
UGA,Uganda,24185350.200636998,44457152.0,-4.58138290662757e-10,2.006442189070386e-10,1.3137120370976546e-10,9.593444056011189e-11,5.7941798682674906e-11,1.7931552175034434e-26,-3.267671099517695e-10,2.624226517751038e-10,-2.688253112690946e-10,2.624226517751038e-10
UKR,Ukraine,57199926.55394664,44680014.0,-3.181545868391392e-11,6.585556882572766e-11,1.731484438298924e-11,4.1635360595397136e-11,1.0724555069879125e-09,2.4261897949687014e-25,-1.4500612519520296e-11,8.338376062044287e-11,1.0579548944683905e-09,8.338376062044287e-11
URY,Uruguay,17734216.12323023,3398968.0,-1.9197290572885403e-11,3.252725499631102e-11,4.249629714463676e-11,6.72005308794346e-11,1.0627418718420974e-10,4.8908941447501453e-26,2.3299006559419267e-11,6.658076019981586e-11,1.29573193743629e-10,6.658076019981586e-11
USA,United States of America,946421551.6355218,331526933.0,-1.9868283818669374e-10,1.0191619139834025e-10,-5.599952038117852e-12,4.6687857086727043e-11,1.5086528003880613e-09,0.0,-2.0428280090997804e-10,1.3173712857884582e-10,1.3043699994780833e-09,1.3173712857884582e-10
UZB,Uzbekistan,44783148.92642688,33586372.0,0.0,0.0,-4.7316500308659016e-12,2.2038042991496816e-11,6.679369922164631e-10,1.5494430539725922e-25,-4.7316500308659016e-12,2.2049070284153508e-11,6.632053421855972e-10,2.2049070284153508e-11
VAT,Vatican City,1.2203826944622063,,,,-1.8658081684806414e-09,3.2060259288056825e-09,,,,,,
VCT,Saint Vincent and the Grenadines,36772.82705624168,103526.0,0.0,0.0,-8.994823800033541e-11,5.706739673486145e-11,1.7451686506317613e-09,0.0,-8.994823800033541e-11,5.7095951851351836e-11,1.6552204126314259e-09,5.709595185135188e-11
VEN,Venezuela,91268398.0118028,28444077.0,-2.563448083856409e-10,3.0104305102897553e-10,7.710067221832902e-11,5.479112206800333e-11,3.153933522896345e-10,3.801367206538397e-26,-1.7924412060759098e-10,3.0895861582085534e-10,1.3614923168204352e-10,3.0895861582085534e-10
VGB,British Virgin Islands,14493.753634652921,37135.0,,,,,3.612179409653926e-09,4.67529926949574e-25,,,,
VIR,United States Virgin Islands,35479.26271543923,106290.0,0.0,0.0,,,,,,,,
VNM,Vietnam,32889192.548774373,98079191.0,-4.730549701676939e-10,2.2111458009238977e-10,8.496789428794077e-10,3.3761656163625377e-10,2.1789088486815687e-09,4.219558685496405e-25,3.7662400255227004e-10,3.037834509473667e-10,2.555532851233842e-09,3.037834509473667e-10
VUT,Vanuatu,1229663.862688611,298858.0,-3.9665956266579776e-11,8.90848005897202e-11,-2.515359273254707e-11,8.637639672167602e-11,3.678133885552221e-11,1.1021326695278125e-26,-6.481954897937197e-11,1.0585018585283138e-10,-2.8038210123849774e-11,1.0585018585283138e-10
WLF,Wallis and Futuna Islands,13932.99816487841,,,,,,4.838752097008699e-10,6.079330071179208e-26,,,,
WSM,Samoa,278042.4589442058,211944.0,-2.7527141103063885e-11,6.435714914890303e-11,2.816084755447805e-10,2.5466028654990424e-10,2.3092653773259714e-10,0.0,2.5408133532372863e-10,2.6725384670142506e-10,4.85007873056038e-10,2.67253846701425e-10
XKX,Kosovo,,1790152.0,,,,,,,,,,
YEM,Yemen,45307482.75182068,36134863.0,0.0,0.0,-9.223847025207027e-13,1.712339643187346e-12,7.872643361167011e-11,1.9143896003658436e-26,-9.223847025207027e-13,1.7131964556718807e-12,7.780404890914942e-11,1.7131964556718803e-12
ZAF,South Africa,121982463.54118638,60562381.0,-2.2551433379365947e-11,1.7624440739993033e-11,-2.5355454876148657e-12,1.5477724453943568e-11,9.905223504098592e-10,2.2753742472382086e-25,-2.5086976966388767e-11,2.403983455828375e-11,9.654353734434706e-10,2.403983455828375e-11
ZMB,Zambia,75191428.09791222,19059395.0,-3.1551404994073683e-10,1.5273145211506985e-10,1.9122495974244218e-10,4.2397199276835065e-11,2.3907368874097942e-11,8.651535420290351e-27,-1.2428908538052343e-10,1.6241704814271497e-10,-1.0038171650642415e-10,1.6241704814271497e-10
ZWE,Zimbabwe,38933822.12428704,15526888.0,-1.7094657644331853e-11,2.8920250788776598e-11,4.476397697190936e-11,4.7076096979003277e-11,7.345276825745678e-11,2.2277847143277018e-26,2.7669319766902466e-11,6.375283867089515e-11,1.0112208802436183e-10,6.375283867089515e-11
