flux,sink_iso,sink_country,target_iso,target_country,forest_ha,flow_per_ha_mean,flow_per_ha_q17,flow_per_ha_q83
Fab_tf,ZMB,Zambia,GMB,Gambia,44814030.0,0.052817912596812094,-0.011076924365723995,0.12736706455769098
Fab_tf,ZMB,Zambia,GNB,Guinea-Bissau,44814030.0,0.04419211980605878,-0.009118367098407859,0.10720358980381452
Fab_tf,ZMB,Zambia,GNQ,Equatorial Guinea,44814030.0,0.07002249303990439,-0.014815293188087029,0.16731158136177618
Fab_tf,ZMB,Zambia,GRC,Greece,44814030.0,0.17736056611225465,-0.058198607498393194,0.43963680129511234
Fab_tf,ZMB,Zambia,GTM,Guatemala,44814030.0,0.4587104465805438,-0.10038104323246262,1.1105286160260763
Fab_tf,ZMB,Zambia,GUY,Guyana,44814030.0,0.012385618735774607,-0.0026605373183474293,0.029792086875601975
Fab_tf,ZMB,Zambia,HND,Honduras,44814030.0,0.2260611569156868,-0.04604600551100107,0.5519349915319485
Fab_tf,ZMB,Zambia,HRV,Croatia,44814030.0,0.0025334319882697534,-0.031905334967032815,0.03373741282223848
Fab_tf,ZMB,Zambia,HTI,Haiti,44814030.0,0.14618322764944525,-0.02961570635536778,0.34994409181842673
Fab_tf,ZMB,Zambia,IDN,Indonesia,44814030.0,6.1338394399537615,-1.3266188957885658,14.331493246066326
Fab_tf,ZMB,Zambia,IND,India,44814030.0,39.46146123351163,-8.668960058908544,94.19918668081047
Fab_tf,ZMB,Zambia,IRN,Iran,44814030.0,1.116593077547289,-0.3193017945545889,2.62725066859709
Fab_tf,ZMB,Zambia,IRQ,Iraq,44814030.0,1.2249306211022508,-0.2546748387586314,2.9517706835761106
Fab_tf,ZMB,Zambia,ISR,Israel,44814030.0,0.6852605088068159,-0.14010945189470067,1.662245459473048
Fab_tf,ZMB,Zambia,ITA,Italy,44814030.0,0.391195936579918,-0.40800598561093937,1.1796984154222687
Fab_tf,ZMB,Zambia,JAM,Jamaica,44814030.0,0.02773882197513607,-0.006325765675966527,0.06619546201678066
Fab_tf,ZMB,Zambia,JOR,Jordan,44814030.0,0.23602683454963597,-0.05617963152621009,0.5903074348351233
Fab_tf,ZMB,Zambia,JPN,Japan,44814030.0,1.0087075935631007,-0.6315231131402752,2.7492734800475316
Fab_tf,ZMB,Zambia,KEN,Kenya,44814030.0,0.7527206468043899,-0.15991000463410052,1.7929142244375025
Fab_tf,ZMB,Zambia,KHM,Cambodia,44814030.0,0.32552816542770574,-0.0733317537352456,0.7733190040431779
Fab_tf,ZMB,Zambia,KWT,Kuwait,44814030.0,0.6734632953239554,-0.13503554718483435,1.6841358346060582
Fab_tf,ZMB,Zambia,LAO,Laos,44814030.0,0.1505304114194652,-0.03215643000613133,0.3558069154450839
Fab_tf,ZMB,Zambia,LBN,Lebanon,44814030.0,0.036925174616261186,-0.023774933510901028,0.0986743933917298
Fab_tf,ZMB,Zambia,LBR,Liberia,44814030.0,0.14188146314687905,-0.03127018328325999,0.3335347801651154
Fab_tf,ZMB,Zambia,LBY,Libya,44814030.0,0.31931368925695447,-0.06506874326025955,0.7702405236619823
Fab_tf,ZMB,Zambia,LKA,Sri Lanka,44814030.0,0.6227912360482569,-0.13148786286083697,1.4946951139563274
Fab_tf,ZMB,Zambia,LSO,Lesotho,44814030.0,0.0032085656731391534,-0.008756055885463748,0.014559715095889684
Fab_tf,ZMB,Zambia,MAR,Morocco,44814030.0,0.5064307599901169,-0.12474018247497838,1.2466322847448166
Fab_tf,ZMB,Zambia,MDG,Madagascar,44814030.0,0.33806399391759057,-0.07378056627634758,0.8038350892498715
Fab_tf,ZMB,Zambia,MEX,Mexico,44814030.0,3.221172140691481,-0.7641998489089871,7.736535459667005
Fab_tf,ZMB,Zambia,MLI,Mali,44814030.0,0.6280458145261743,-0.13767687147720814,1.4997912469039603
Fab_tf,ZMB,Zambia,MMR,Myanmar,44814030.0,0.34338695405978753,-0.0728439943236391,0.8178871437396574
Fab_tf,ZMB,Zambia,MOZ,Mozambique,44814030.0,0.6397380360359398,-0.13279104953080537,1.5607983886427563
Fab_tf,ZMB,Zambia,MRT,Mauritania,44814030.0,0.14391121036596102,-0.032063245093428554,0.34906858272889246
Fab_tf,ZMB,Zambia,MUS,Mauritius,44814030.0,0.03710093153608254,-0.009080054612886775,0.08940214331003928
Fab_tf,ZMB,Zambia,MWI,Malawi,44814030.0,0.5731129583256331,-0.1212731294243539,1.3891171106434166
Fab_tf,ZMB,Zambia,MYS,Malaysia,44814030.0,1.7197280023254211,-0.3857286322264209,4.046433579980654
Fab_tf,ZMB,Zambia,NAM,Namibia,44814030.0,0.07333527021927755,-0.016423029331813974,0.17644977899625397
Fab_tf,ZMB,Zambia,NCL,New Caledonia,44814030.0,0.007432242998126469,-0.0018379630996971492,0.01765733326446206
Fab_tf,ZMB,Zambia,NER,Niger,44814030.0,1.025147175146833,-0.22186352084855265,2.4360803442960286
Fab_tf,ZMB,Zambia,NGA,Nigeria,44814030.0,10.944333603629923,-2.3717567526747763,25.994233796899657
Fab_tf,ZMB,Zambia,NIC,Nicaragua,44814030.0,0.13541312820694434,-0.02950258034530269,0.32875445613729026
Fab_tf,ZMB,Zambia,NPL,Nepal,44814030.0,0.42808322426224726,-0.09987687177553098,1.0039762232268499
